Categoría,Fecha,Hora,Estudiante,Precio,Dirección,Plus code,Razón no captura de datos,Categorias/observaciones,Promedio,mediana,moda,desviación estandar,valor máximo,valor mínimo,Número de datos,nombre del estudiante sin tilde,categoria sin tilde,direccion sin tilde
Arepa,01/03/2019,11:53,Édgar,3000,carrera 4#18-53,67p7jw3j+f4,,arepa con jamón y queso,,,,,,,,Edgar,arepa con jamon y queso,carrera 4#18-53
Arepa,01/03/2019,11:54,Édgar,1500,carrera 4 #18-29,67p7jw3j+57,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera 4 #18-29
Arepa,01/03/2019,11:54,Édgar,2000,carrera 4 #18-29,67p7jw3j+57,,arepa con jamón y queso,,,,,,,,Edgar,arepa con jamon y queso,carrera 4 #18-29
Arepa,01/03/2019,11:59,Édgar,2000,carrera 4#18-58,67p7jw3j+79,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera 4#18-58
Arepa,01/03/2019,12:00,Édgar,2700,carrera5#18 esquina,67p7jw3h+cg,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera5#18 esquina
Arepa,01/03/2019,12:15,Édgar,2200,carrera4#18-110,67p7jw3j+58,,arepa de choclo con queso,,,,,,,,Edgar,arepa de choclo con queso,carrera4#18-110
Arepa,05/03/2019,08:30,Édgar,1700,calle 18#6-39,67p7jw3h+q9,,arepa de choclo con queso,,,,,,,,Edgar,arepa de choclo con queso,calle 18#6-39
Arepa,05/03/2019,08:31,Édgar,1700,calle 18#6-39,67p7jw3h+q9,,arepa de peto con queso,,,,,,,,Edgar,arepa de peto con queso,calle 18#6-39
Arepa,05/03/2019,08:35,Édgar,1600,calle17#6-48,67p7jw3h+c6,,arepa con queso,,,,,,,,Edgar,arepa con queso,calle17#6-48
Arepa,05/03/2019,08:40,Édgar,2000,carrera6#14-74,67p7jw2g+cx,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera6#14-74
Arepa,05/03/2019,08:42,Édgar,2000,carrera6#14-74,67p7jw2g+cx,,arepa con queso y jamón,,,,,,,,Edgar,arepa con queso y jamon,carrera6#14-74
Arepa,05/03/2019,14:29,Édgar,2500,carrera5#16-42,67p7jw2h+vh,,arepa de huevo,,,,,,,,Edgar,arepa de huevo,carrera5#16-42
Arepa,05/03/2019,14:35,Édgar,2200,carrera5#16-39,67p7jw2h+vf,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera5#16-39
Arepa,05/03/2019,14:37,Édgar,2200,carrera5#16-15,67p7jw2h+rf,,arepa de maíz pelado grande,,,,,,,,Edgar,arepa de maiz pelado grande,carrera5#16-15
Arepa,05/03/2019,14:37,Édgar,1800,carrera5#16-15,67p7jw2h+rf,,arepa de maíz pelado pequeña,,,,,,,,Edgar,arepa de maiz pelado pequeña,carrera5#16-15
Arepa,05/03/2019,14:45,Édgar,2000,calle12c#6-25,67p7jw2g+2c,,arepa de huevo,,,,,,,,Edgar,arepa de huevo,calle12c#6-25
Arepa,05/03/2019,14:45,Édgar,2200,calle12c#6-25,67p7jw2g+2c,,arepa con queso,,,,,,,,Edgar,arepa con queso,calle12c#6-25
Arepa,05/03/2019,14:50,Édgar,3500,carrera6#14-44,67p7jw2h+j2,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera6#14-44
Arepa,05/03/2019,14:55,Édgar,2200,carrera6#12c-38,67p7jw2g+7w,,arepa con queso,,,,,,,,Edgar,arepa con queso,carrera6#12c-38
