Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:44:00;David Medina;7000;Cra. 3 # 12-09, Bogotá;HWWH+RF Bogotá;;Pacanse/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:46:00;Nicolas Alvarez;;Calle 12B # 4-94, Bogotá;HWXH+G2 Bogotá;No tiene el producto;Candelario/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:52:00;David Medina;14000;Calle 12B # 5-41, Bogotá;HWXG+HR Bogotá;;El duende/Ofrecen platillos del dia con distintos precios, se selecciona el de menor precio dentro de los distintos menús del día;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:54:00;Nicolas Alvarez;;Calle 12C # 3-12, Bogotá;HWXH+GV Bogotá;No tiene el producto;Café para dos/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:21:00;David Medina;;Cra. 3 # 12C-79, Bogotá;HWXJ+P3 Bogotá;No tiene el producto;L´Jaim/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:24:00;Nicolas Alvarez;6900;Calle 12D # 3-77, Bogotá;HWXH+XR Bogotá;;Arroces de la candelaria/Del día;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:29:00;David Medina;10000;Av Jimenez # 4-64, Bogotá;JW2H+8G Bogotá;;Bulevard Sesamo/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:33:00;Nicolas Alvarez;15000;Av Jimenez # 4-66, Bogotá;JW2H+8F Bogotá;;Casserole/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:35:00;Juan Pablo Calderon;9000;Av Jimenez # 4-68, Bogotá;JW2H+8F Bogotá;;Pargo paisa/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:36:00;Juan Pablo Calderon;8000;Av Jimenez # 4-86, Bogotá;JW2H+88 Bogotá;;Parrilla expres/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:37:00;Juan Pablo Calderon;8500;Av Jimenez # 4-92, Bogotá;JW2H+87 Bogotá;;Balmoral/ Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:39:00;Juan Pablo Calderon;8900;Av Jimenez # 5-28, Bogotá;JW2H+93 Bogotá;;Dliz/Del día;;;;;;;;;;;;;;;;;
