cat,date,time,estudent,price,address,pluscode,city,long_code,lat_long,gen,dum_gen,mov,dum_mov,Categorías/Observaciones
Minutos,27/02/2019,11:49:00,Juan Martín Londoño,"200,00",call 10 no 6-76,HWWF+RQ,Bogotá,67P7HWWF+RQ,"4.5970625,-74.0755625",,,M,1,
Minutos,27/02/2019,11:51:00,Juan Martín Londoño,"200,00",Cra 6 call 10,HWWF+PX,Bogotá,67P7HWWF+PX,"4.5968125,-74.0750625",,,M,1,
Minutos,27/02/2019,11:53:00,Juan Martín Londoño,"200,00",Cra 6 no. 10-72,HWWF+PX,Bogotá,67P7HWWF+PX,"4.5968125,-74.0750625",,,F,0,
Minutos,27/02/2019,14:15:00,Juan Martín Londoño,"150,00",Av Jiménez no. 5-84,JW2H+93,Bogotá,67P7JW2H+93,"4.6009375,-74.0723125",,,M,1,
Minutos,27/02/2019,14:16:00,Juan Martín Londoño,"150,00",Av Jiménez no 5-85,JW2H+93,Bogotá,67P7JW2H+93,"4.6009375,-74.0723125",,,M,1,
Minutos,27/02/2019,14:18:00,Juan Martín Londoño,"200,00",Av Jiménez Cra 4,JW2H+75,Bogotá,67P7JW2H+75,"4.6006875,-74.0720625",,,M,1,
Minutos,27/02/2019,14:21:00,Juan Martín Londoño,"200,00",Av Jiménez #4-77,JW2H+4J,Bogotá,67P7JW2H+4J,"4.6003125,-74.0709375",,,M,1,
Minutos,27/02/2019,14:22:00,Juan Martín Londoño,"200,00",Av Jiménez #4-77,JW2H+4J,Bogotá,67P7JW2H+4J,"4.6003125,-74.0709375",,,M,1,
Minutos,27/02/2019,14:26:00,Juan Martín Londoño,"200,00",Av Jiménez #3-75,JW2J+62,Bogotá,67P7JW2J+62,"4.6005625,-74.0699375",,,F,0,
Minutos,25/02/2019,10:34:00,Daniel Camilo Tuirán,"200,00",Calle 20# 5-85,JW4H+6R,Bogotá,67P7JW4H+6R,"4.6055625,-74.0704375",,,M,1,
Minutos,25/02/2019,10:42:00,Daniel Camilo Tuirán,"150,00",Calle 20# 5-18,JW4H+5W,Bogotá,67P7JW4H+5W,"4.6054375,-74.0701875",,,F,0,
Minutos,25/02/2019,10:50:00,Daniel Camilo Tuirán,"200,00",Calle 20#4 - 02,JW3J+RH,Bogotá,67P7JW3J+RH,"4.6045625,-74.0685625",,,M,1,
Minutos,25/02/2019,10:50:00,Daniel Camilo Tuirán,"200,00",Calle 20#4 - 02,JW3J+RH,Bogotá,67P7JW3J+RH,"4.6045625,-74.0685625",,,M,1,
Minutos,3/02/2019,9:50:00,Daniel Camilo Tuirán,"100,00",Calle 21 #3-27,JW3J+XW,Bogotá,67P7JW3J+XW,"4.6049375,-74.0676875",,,F,0,
Minutos,3/02/2019,9:53:00,Daniel Camilo Tuirán,"200,00",Calle 21 # 4 - 03,JW4J+4M,Bogotá,67P7JW4J+4M,"4.6053125,-74.0683125",,,F,0,
Minutos,3/02/2019,10:02:00,Daniel Camilo Tuirán,"200,00",Calle 21 # 4 - 21,JW4J+4J,Bogotá,67P7JW4J+4J,"4.6053125,-74.0684375",,,M,1,
Minutos,3/02/2019,10:05:00,Daniel Camilo Tuirán,"150,00",Calle 21 # 4 - 91,JW4J+97,Bogotá,67P7JW4J+97,"4.6059375,-74.0693125",,,F,0,
Minutos,3/02/2019,10:07:00,Daniel Camilo Tuirán,"150,00",Calle21 # 4 - 97,JW4J+C5,Bogotá,67P7JW4J+C5,"4.6060625,-74.0695625",,,F,0,
