Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;
Arepas;6/03/2019;10:45 AM;Nicolas Salas ;1800;Carrera 5 #16-15;67P7JW2H+QF;;arepa santandereana pequeña;;
Arepas;6/03/2019;10:45 AM;Nicolas Salas ;2200;Carrera 5 #16-15;67P7JW2H+QF;;arepa santandereana grande;;
Arepas;6/03/2019;10:46 AM;Nicolas Salas ;1600;Carrera 5 #16-01;67P7JW2H+PC;;arepa boyacense;;
Arepas;6/03/2019;10:53 AM;Nicolas Salas ;2700;Carrera 7 #17-10;67P7JW3H+C4;;arepa de chocolo;;
Arepas;6/03/2019;10:53 AM;Nicolas Salas ;1200;Carrera 7 #17-10;67P7JW3H+C4;;arepa boyacense ;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
