Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;Pcode
Papelería;28/02/2019;9:48:00 a m;Sebastian Velez;100;cra 5 # 21-19;67P7JW4J+G5;;;67P7JW4J+G5
Papelería;28/02/2019;9:49:00 a m;Sebastian Velez;100;Calle 21#5-02;67P7JW4J+C5;;;67P7JW4J+C5
Papelería;28/02/2019;9:50:00 a m;Sebastian Velez;200;cra 5 #20-78;67P7JW4J+95;;;67P7JW4J+95
Papelería;28/02/2019;9:51:00 a m;Sebastian Velez;;cra 5 #20-38;67P7JW4J+64;No había nadie atendiendo;;67P7JW4J+64
Papelería;28/02/2019;9:55:00 a m;Sebastian Velez;150;cra 5#19-48;67P7JW3H+WX;;;67P7JW3H+WX
Papelería;28/02/2019;9:16:00 a m;Alejandro Preciado;100;Calle 23 #5-60;67P7JW5J+889;;;67P7JW5J+889
Papelería;28/02/2019;9:21:00 a m;Alejandro Preciado;100;Calle 23 #3B 36;67P7JW4M+P8J;;;67P7JW4M+P8J
Papelería;28/02/2019;9:30:00 a m;Alejandro Preciado;100;cra 5 #23-19;67P7JW5J+5GF;;;67P7JW5J+5GF
Papelería;28/02/2019;9:30:00 a m;Alejandro Preciado;100;cra 5 #23-25;67P7JW5J+5GF;;;67P7JW5J+5GF
Papelería;28/02/2019;9:40:00 a m;Alejandro Preciado;100;cra 7 #22 -31;67P7JW5H+9P;;;67P7JW5H+9P
Papelería;28/02/2019;9:44:00 a m;Alejandro Preciado;100;Calle 22 #6 -24;67P7JW5H+3WM;;;67P7JW5H+3WM
Papelería;28/02/2019;9:45:00 a m;Alejandro Preciado;100;Calle 22 #6 -24;67P7JW5H+3WM;;;67P7JW5H+3WM
Papelería;28/02/2019;9:48:00 a m;Alejandro Preciado;50;Calle 22 #4-95;67P7JW4J+QC6;;;67P7JW4J+QC6
Papelería;28/02/2019;9:50:00 a m;Alejandro Preciado;100;Calle 22 #4-81;67P7JW4J+PF;;;67P7JW4J+PF
Papelería;28/02/2019;10:03:00 a m;Alejandro Preciado;100;Calle 20 #7-25;67P7JW4H+FCJ;;;67P7JW4H+FCJ
Papelería;4/03/2019;10:02:00 a m;Juan Carlos Flechas ;100;Calle19#6-56;67P7JW4H+3G;;;67P7JW4H+3G
Papelería;4/03/2019;10:03:00 a m;Juan Carlos Flechas ;100;Calle19#6-46;67P7JW4H+3G;;;67P7JW4H+3G
Papelería;4/03/2019;10:08:00 a m;Juan Carlos Flechas ;100;calle19#3-16;67P7JW3J+8P;;;67P7JW3J+8P
